game_pk,pitcher_id,game_date,pitcher_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
824504,673540,2026-06-16,"Senga, Kodai",4,11,82,90.08170731707317,2235.6341463414633,0.13414634146341464,4.6,0.115694942738421,89.28013349886828,73.4
823614,673540,2026-06-23,"Senga, Kodai",6,12,98,89.89285714285714,2244.204081632653,0.12244897959183673,3.6,0.10991551537893,89.16038800576118,71.4
822713,674841,2026-07-07,"Alvarez, Andrew",3,7,97,88.09381443298969,2478.40206185567,0.07216494845360824,5.0,0.12126711382363686,86.97984023908006,77.2
824328,674841,2026-07-20,"Alvarez, Andrew",2,7,74,86.54864864864865,2483.5405405405404,0.0945945945945946,4.6,0.10399278644118777,87.42518849153166,80.2
824258,675512,2026-06-25,"Melton, Troy",6,12,88,93.6625,2253.159090909091,0.13636363636363635,3.8,0.09057880155655358,90.86621450804185,86.8
823530,675512,2026-07-01,"Melton, Troy",7,11,84,91.96190476190476,2162.904761904762,0.13095238095238096,4.4,0.10013000984193907,91.02428412829501,88.6
824253,675512,2026-07-08,"Melton, Troy",9,14,91,93.310989010989,2214.5604395604396,0.15384615384615385,5.6,0.11283733996499953,91.43194597955235,87.6
824009,675512,2026-07-17,"Melton, Troy",9,16,94,94.28617021276595,2191.3297872340427,0.1702127659574468,6.4,0.12871295371295371,92.0083991008991,87.0
824247,675512,2026-07-23,"Melton, Troy",5,10,90,90.68444444444445,2221.088888888889,0.1111111111111111,7.2,0.14684641599535217,92.71836041617955,88.2
824243,675512,2026-07-28,"Melton, Troy",5,11,92,91.54673913043477,2183.7934782608695,0.11956521739130435,7.2,0.14049720964614582,92.78120168602084,89.4
824500,675660,2026-06-24,"Drohan, Shane",5,5,98,90.04183673469389,2567.6428571428573,0.05102040816326531,4.2,0.11206961004976597,90.01269278363183,76.6
823767,675660,2026-07-01,"Drohan, Shane",7,14,78,89.38974358974359,2545.230769230769,0.1794871794871795,4.8,0.11274988215860951,90.18518711469758,83.6
823036,675660,2026-07-06,"Drohan, Shane",2,5,85,90.17529411764706,2533.4470588235295,0.058823529411764705,5.2,0.11629437687957482,89.65519465617572,85.6
823356,675660,2026-07-11,"Drohan, Shane",6,16,83,89.31686746987953,2536.0481927710844,0.1927710843373494,4.8,0.10878197432819281,89.81675950380153,86.0
823763,675660,2026-07-18,"Drohan, Shane",9,11,90,90.04666666666667,2600.011111111111,0.12222222222222222,4.6,0.11400285786232937,89.50628684393128,87.0
823759,675660,2026-07-24,"Drohan, Shane",6,10,92,91.39999999999999,2486.3695652173915,0.10869565217391304,5.8,0.12086488472435623,89.79408171572614,86.8
824512,675911,2026-05-31,"Strider, Spencer",8,11,90,90.13444444444445,2322.5,0.12222222222222222,6.4,0.13541871921182266,88.59618128078817,89.8
