game_pk,pitcher_id,game_date,pitcher_name,home_away,team_id,team_name,opponent_id,opponent_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,opponent_k_rate,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
824120,676440,2026-05-04,"Bibee, Tanner",away,114,Cleveland Guardians,118,Kansas City Royals,4,8,77,88.05974025974027,2342.6363636363635,0.1038961038961039,0.223338485316847,4.2,0.11397888492086723,86.74375845237398,92.8
824444,676440,2026-05-09,"Bibee, Tanner",home,114,Cleveland Guardians,142,Minnesota Twins,9,20,98,88.19183673469387,2193.091836734694,0.20408163265306123,0.2214095744680851,4.4,0.11176959995296158,86.9520283434025,90.8
824439,676440,2026-05-15,"Bibee, Tanner",home,114,Cleveland Guardians,113,Cincinnati Reds,2,8,96,87.753125,2200.3229166666665,0.08333333333333333,0.24193548387096775,5.4,0.1375321630427136,86.99082579786815,91.8
824273,676440,2026-05-20,"Bibee, Tanner",away,114,Cleveland Guardians,116,Detroit Tigers,5,8,104,89.21538461538461,2214.6634615384614,0.07692307692307693,0.22744881018262314,4.8,0.12086549637604696,87.28499246453482,91.8
824437,676440,2026-05-25,"Bibee, Tanner",home,114,Cleveland Guardians,120,Washington Nationals,3,7,61,88.33278688524591,2227.3934426229507,0.11475409836065574,0.21482530689329557,5.2,0.1173027433396097,87.79649044024332,93.6
824430,676440,2026-05-31,"Bibee, Tanner",home,114,Cleveland Guardians,111,Boston Red Sox,5,11,90,88.53777777777778,2273.034090909091,0.12222222222222222,0.22016651248843663,4.6,0.11659764903324624,88.31057469901293,87.2
822891,676440,2026-06-06,"Bibee, Tanner",away,114,Cleveland Guardians,140,Texas Rangers,3,4,87,87.62183908045978,2342.9655172413795,0.04597701149425287,0.22936170212765958,4.8,0.12026287269846989,88.40618220262043,89.8
824425,676440,2026-06-12,"Bibee, Tanner",home,114,Cleveland Guardians,116,Detroit Tigers,8,13,91,89.24835164835166,2235.1428571428573,0.14285714285714285,0.22612085769980506,3.6,0.08864194846670823,88.2921826717736,87.6
824179,676440,2026-06-19,"Bibee, Tanner",away,114,Cleveland Guardians,117,Houston Astros,7,8,95,88.81263157894738,2396.7263157894736,0.08421052631578947,0.21582234559333796,4.8,0.10054671037147012,88.59122800144395,86.6
824583,676440,2026-06-24,"Bibee, Tanner",away,114,Cleveland Guardians,145,Chicago White Sox,2,7,89,88.8123595505618,2308.044943820225,0.07865168539325842,0.24254742547425473,5.2,0.10200420025001264,88.5106773941565,84.8
824418,676440,2026-06-30,"Bibee, Tanner",home,114,Cleveland Guardians,140,Texas Rangers,2,5,91,87.78021978021978,2356.131868131868,0.054945054945054944,0.22538293216630198,5.0,0.09478371765653318,88.60659192721968,90.4
824413,676440,2026-07-05,"Bibee, Tanner",home,114,Cleveland Guardians,145,Chicago White Sox,1,7,62,87.96774193548387,2186.548387096774,0.11290322580645161,0.23717183770883055,4.4,0.08132828420109971,88.45508032770809,90.6
823844,676440,2026-07-11,"Bibee, Tanner",away,114,Cleveland Guardians,146,Miami Marlins,3,2,94,86.43085106382979,2326.925531914894,0.02127659574468085,0.211287183764248,4.0,0.09471352706353946,88.5242608987129,85.6
